Comments,TO,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,среднее
1,1960,1.80798,2.74286,1.09828,0.87532,0.55111,0.40139,0.8951,1.50263,1.23488,1.45042,1.51598,1.7609,1.63162
2,1961,1.75156,1.66103,1.38707,-0.01048,-0.78506,-0.48733,0.46373,1.33165,1.32561,1.23881,0.61467,1.13955,1.06561
3,1962,2.485,1.87739,1.84913,0.33021,-0.27604,0.33791,0.08627,0.77598,1.86995,1.6783,1.67741,1.83857,1.68458
4,1963,1.2438,2.31012,1.84913,1.07974,0.23297,0.14747,0.40981,1.50263,1.18952,1.28764,1.17967,1.32077,1.3933
5,1964,0.90529,0.29071,1.6181,1.35229,1.76003,0.46487,0.46373,0.81872,1.52973,1.95501,1.77158,1.32077,1.6581
6,1965,0.84887,0.21859,1.73362,2.44252,2.14179,1.48054,1.48824,1.11793,1.07612,1.09232,0.73574,1.0101,1.33372
7,1966,0.45395,0.21859,-0.80772,0.33021,0.74199,-0.04297,1.05687,1.16068,1.2122,1.09232,1.01824,0.95832,0.96962
8,1967,1.35664,-0.21415,-0.57669,-0.07862,-0.02154,0.33791,0.30196,0.13481,1.34829,1.87362,1.368,1.11366,1.13512
9,1968,1.58231,0.72344,1.2138,1.62485,1.06013,1.41706,1.05687,1.80184,1.64314,1.58063,1.77158,1.29488,1.77064
10,1969,0.34111,1.37254,1.90689,1.62485,1.82366,1.41706,1.00295,0.43402,1.25756,1.02721,0.48015,0.82887,1.15167
11,1970,1.30022,0.43495,1.09828,0.67091,-0.91232,-0.48733,0.24804,-0.5491,0.89467,1.18998,0.69539,1.37255,0.81074
12,1971,0.73604,0.36283,1.09828,-0.41932,-0.08516,0.40139,0.73334,0.51951,1.28025,1.3202,0.84336,0.80298,0.96962
13,1972,1.30022,-0.21415,0.34743,0.60277,0.36023,-0.55081,-0.45294,0.51951,1.18952,1.30392,1.01824,1.45022,0.99279
14,1973,1.2438,1.44466,1.79137,1.55671,1.76003,1.73446,1.43432,0.94695,0.98539,1.09232,0.96443,1.29488,1.42971
15,1974,2.09007,0.72344,0.17416,-0.48746,0.80562,0.02051,0.19412,0.81872,1.0988,0.92955,1.35455,1.06188,1.07885
16,1975,1.18738,1.08405,1.2138,1.35229,0.80562,1.41706,1.48824,1.84459,1.71118,1.02721,0.69539,1.06188,1.37013
17,1976,0.79246,1.01193,0.57846,1.14788,1.63278,1.67098,2.40491,2.87045,1.66582,1.33648,1.11241,0.93243,1.63162
18,1977,1.97723,0.65132,0.34743,1.55671,2.3963,3.19449,2.99805,1.80184,1.03076,0.99466,1.3411,1.47611,1.72761
19,1978,0.34111,1.51678,2.08016,2.37438,3.28709,2.62317,2.35099,2.18654,1.12148,1.28764,1.27384,0.41463,1.73754
20,1979,1.18738,0.21859,-0.34566,-1.91837,-1.16683,-0.80473,-0.8304,0.09206,0.80395,1.25509,0.87027,1.06188,0.54263
21,1980,0.28469,1.08405,0.57846,0.05766,0.2966,1.09966,0.67941,0.26304,0.57714,0.45751,0.43979,0.54408,0.59228
22,1981,0.17186,0.36283,-1.03875,0.87532,-0.21242,0.33791,0.40981,0.69049,1.05344,0.60401,0.34562,0.72531,0.54925
23,1982,0.51037,0.00222,-0.80772,-1.57768,-0.33967,-0.16993,-0.02157,-0.03617,0.46374,0.52262,-0.30009,0.51819,0.04283
24,1983,0.22828,0.93981,-0.17238,-0.96443,-1.1032,-0.48733,-1.04608,-0.76282,0.23693,-0.11219,0.41289,0.33696,-0.04985
25,1984,-0.61799,0.29071,-0.34566,-0.28304,0.04209,0.21095,-0.45294,-0.42087,-0.01256,-0.04708,-0.13866,-0.5174,-0.21535
26,1985,-1.12576,-0.50264,-1.38529,-1.30512,-0.97595,-0.67777,-0.66863,-0.80557,-0.14865,-0.47028,-0.55569,-0.07727,-0.68537
27,1986,-0.56158,-1.22386,-1.55857,-1.85023,-1.1032,-0.99517,-1.26177,-0.76282,0.0328,-0.2424,0.50705,0.07807,-0.42388
28,1987,-0.84367,0.43495,-0.98099,-1.23698,-1.35771,-1.75692,-1.36961,-0.89106,-0.73835,-0.89349,-1.16105,-0.05138,-1.04285
29,1988,-0.67441,-0.719,-0.51893,-0.55559,-0.53055,-1.12212,-1.26177,-0.84831,-0.05792,0.45751,0.96443,0.44052,0.01966
30,1989,-0.16665,-0.86325,-1.32754,-1.30512,-1.35771,-0.55081,-0.8304,-0.67733,-0.4435,-0.68189,-0.50188,-0.05138,-0.72509
31,1990,-1.01292,-0.79112,-1.09651,-0.89629,-0.21242,-0.48733,-0.77647,-1.53222,-0.67031,-0.8121,-1.16105,-0.93163,-1.07264
32,1991,-0.50516,-1.15173,-0.98099,-0.89629,-0.33967,-0.61429,-0.77647,-0.67733,-0.85175,-0.74699,0.27836,-0.07727,-0.54966
33,1992,-0.84367,-0.35839,-1.09651,-1.10071,-0.97595,-1.62996,-2.01667,-1.06203,-0.89711,-0.48656,-1.16105,-0.93163,-1.1587
34,1993,-0.39232,0.29071,0.86725,0.39835,-0.02154,0.08399,-0.29118,-0.33538,-0.69299,-0.9586,-0.86509,-0.2585,-0.52318
35,1994,0.45395,-1.29598,0.46295,-0.01048,0.9965,0.08399,0.03235,-0.33538,-0.69299,-0.87721,0.06312,0.56997,-0.1657
36,1995,-0.78725,-0.0699,-1.26978,-0.01048,-0.33967,-0.80473,-0.45294,-0.42087,-0.67031,-1.15392,-0.94581,-1.11286,-0.95017
37,1996,-0.22307,-1.51234,1.09828,0.33021,-0.08516,-0.23341,-0.12941,-1.83143,-1.35073,-0.92604,-1.08033,-0.31028,-0.8608
38,1997,-1.29501,0.14646,-0.51893,0.12579,-0.53055,0.02051,-0.07549,-0.42087,-0.96516,-0.92604,-0.64985,-0.77629,-0.74495
39,1998,-1.68994,-0.21415,0.05865,0.12579,0.04209,-0.29689,-0.72255,-1.10478,-0.80639,-1.12137,-1.34938,-1.37176,-1.09581
40,1999,-1.01292,-1.3681,-0.2879,-0.2149,-0.02154,-0.42385,-1.26177,-1.27576,-1.23733,-1.12137,-1.32247,-1.29409,-1.24807
41,2000,-1.06934,-0.35839,-0.74996,-1.16884,-0.91232,-1.503,-1.47746,-1.61771,-1.64558,-0.63305,0.238,-0.07727,-0.84094
42,2001,-0.9565,-2.08932,-0.98099,-1.16884,-0.65781,-0.48733,-0.61471,-1.19027,-1.39609,-0.90977,-1.21485,-1.5012,-1.33413
43,2002,-0.44874,-0.719,-0.34566,-0.01048,0.42386,0.21095,0.19412,0.30579,0.87199,0.55517,1.17967,-0.02549,0.51615
44,2003,-1.12576,-1.22386,-0.11463,-0.14676,-0.4033,-1.12212,-1.15393,-0.76282,-0.76103,-0.79583,-0.43462,-0.38795,-0.77474
45,2004,-1.40785,-0.21415,0.69398,0.39835,0.36023,0.46487,0.78726,0.56225,-0.53422,-0.09591,-0.34045,-0.07727,-0.08957
46,2005,-0.73083,-1.80083,-1.32754,-0.55559,-0.33967,0.02051,-0.45294,-0.20715,-1.10124,-0.76327,0.00931,-0.82807,-0.70854
47,2006,-1.12576,0.21859,0.63622,-0.2149,0.48748,0.78226,0.51765,-0.37812,-1.01052,-1.10509,-1.32247,-0.56918,-0.73171
48,2007,0.11544,0.36283,-0.34566,0.05766,-0.59418,-0.86821,-0.8304,-1.06203,-0.78371,-0.6005,-1.05343,-1.55298,-0.89721
49,2008,-0.3359,0.5792,0.92501,0.26207,0.42386,0.84574,0.40981,0.2203,-0.82907,-0.89349,-1.21485,-1.34587,-0.59269
50,2009,-0.22307,-1.00749,-1.32754,-1.16884,-1.16683,-0.80473,-0.72255,-0.67733,-1.01052,-0.64933,-0.86509,-0.43973,-0.94024
51,2010,-1.06934,-1.00749,-0.17238,-0.28304,-1.29408,-0.61429,0.19412,0.56225,-0.21669,-0.73072,-1.26866,-1.44942,-0.85418
52,2011,0.0026,-1.72871,0.05865,0.53463,-0.14879,0.33791,-0.23726,-0.59185,-0.80639,-1.15392,-0.86509,-1.19053,-0.81777
53,2012,-0.27949,0.00222,-0.05687,0.60277,0.2966,0.71878,0.24804,0.73323,-0.35277,0.26219,0.48015,0.05218,0.26128
54,2013,-0.56158,0.21859,-0.80772,0.12579,0.10572,-0.36037,-0.8304,-0.67733,-0.73835,-0.20985,0.14384,0.02629,-0.29148
55,2014,-0.61799,0.79556,-0.05687,1.21602,-0.14879,-0.48733,0.1402,0.13481,-0.51154,-0.61678,-0.40771,-0.62095,-0.33782
56,2015,-0.56158,-0.50264,-0.86548,-0.2149,-0.27604,-0.04297,0.03235,0.09206,-0.42082,-1.21903,-1.47045,-1.65654,-1.00644
57,2016,-0.50516,-0.64688,-0.40341,-0.28304,-0.14879,-0.23341,0.1402,-0.42087,-0.62494,-0.63305,0.31872,-0.02549,-0.28486
58,2017,-0.11023,0.00222,0.05865,0.26207,-0.53055,-0.99517,-0.72255,-0.5491,-0.39814,-0.3889,0.22455,-0.43973,-0.29479
59,2018,-0.05381,-1.15173,-1.73184,-0.82815,-1.03957,-0.93169,-0.29118,-0.46361,-0.73835,-1.13764,-0.87854,-0.62095,-0.98658
60,2019,0.34111,-0.50264,-0.23014,-0.14676,-0.14879,0.84574,1.21863,0.51951,0.48642,0.49007,0.84336,0.18163,0.52939
61,2020,-0.78725,0.14646,-0.23014,0.12579,0.23297,0.46487,0.67941,-0.29263,-0.91979,-1.26786,-1.61843,-2.12256,-1.05278
62,2021,-1.35143,-0.64688,-0.2879,0.73904,1.06013,1.16314,0.78726,0.47676,-0.82907,-1.23531,-1.29557,-1.60476,-0.78467
63,2022,-1.18217,-1.29598,-0.51893,-1.10071,-1.03957,-0.80473,-1.26177,-1.23301,-1.19196,-1.18648,-1.24176,-0.90574,-1.31758
64,2023,-0.39232,0.07434,-0.98099,-1.98651,-2.12124,-2.32824,-1.63922,-0.9338,-1.16928,-0.9586,-1.29557,-1.31998,-1.43012
65,2024,-0.39232,0.5792,-0.17238,-0.76001,-0.4033,-0.55081,-0.61471,-0.9338,-0.96516,-0.6005,-0.77093,-0.46562,-0.71516
